<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
AAPL;60;230713;130000;190.4;190.755;190.36;190.57;103861
AAPL;60;230713;140000;190.575;190.87;190.5;190.66;114313
AAPL;60;230713;150000;190.66;191.18;190.53;190.53;389952
AAPL;60;230714;090000;190.23;190.99;190.15;190.82;293727
AAPL;60;230714;100000;190.79;191.175;190.37;190.62;407892
AAPL;60;230714;110000;190.65;190.72;190.29;190.5;198490
AAPL;60;230714;120000;190.5;190.5;189.74;190;259198
AAPL;60;230714;130000;190.02;190.41;189.64;190.22;214282
AAPL;60;230714;140000;190.22;190.56;189.99;190.04;186020
AAPL;60;230714;150000;190.04;190.73;189.79;190.72;587863
AAPL;60;230717;090000;191.9;193.43;191.82;192.51;550077
AAPL;60;230717;100000;192.54;193.13;192.54;192.96;285322
AAPL;60;230717;110000;192.96;193.29;192.75;193.23;190328
AAPL;60;230717;120000;193.235;193.24;192.4;192.9;135697
AAPL;60;230717;130000;192.9;193.48;192.81;193.31;130061
AAPL;60;230717;140000;193.3;193.79;193.17;193.68;164286
AAPL;60;230717;150000;193.675;194.31;193.67;193.98;554397
AAPL;60;230718;090000;193.32;193.58;192.8;193.34;339030
AAPL;60;230718;100000;193.33;193.57;192.81;193.37;267571
AAPL;60;230718;110000;193.37;193.655;192.77;193.2;261548
AAPL;60;230718;120000;193.22;193.24;192.42;192.515;260033
AAPL;60;230718;130000;192.51;193.17;192.51;192.98;125419
AAPL;60;230718;140000;192.98;193.96;192.97;193.78;205526
AAPL;60;230718;150000;193.79;194.33;193.54;193.74;553155
AAPL;60;230719;090000;193.1;193.5;192.69;192.81;286916
AAPL;60;230719;100000;192.84;193.34;192.65;192.96;331413
AAPL;60;230719;110000;192.96;193.6;192.79;193.385;152977
AAPL;60;230719;120000;193.37;198.22;193.37;195.075;1678603
AAPL;60;230719;130000;195.1;195.18;194.07;194.8;307891
AAPL;60;230719;140000;194.81;195.56;194.28;195.56;288049
AAPL;60;230719;150000;195.545;195.715;194.94;195.08;457310
AAPL;60;230720;090000;195.09;196.45;195.07;195.75;416249
AAPL;60;230720;100000;195.76;195.76;193.96;194.43;509729
AAPL;60;230720;110000;194.44;195.14;194.215;194.93;258252
AAPL;60;230720;120000;194.93;195.58;194.28;194.48;447438
AAPL;60;230720;130000;194.46;194.53;193.89;194.31;224456
AAPL;60;230720;140000;194.29;194.36;193.12;193.27;311137
AAPL;60;230720;150000;193.27;193.45;192.5;193.14;849456
AAPL;60;230721;090000;194.125;194.95;193.78;193.79;339210
AAPL;60;230721;100000;193.79;193.95;192.83;193.16;330155
AAPL;60;230721;110000;193.13;193.79;192.72;193.1;195536
AAPL;60;230721;120000;193.09;193.15;191.97;192.14;206862
AAPL;60;230721;130000;192.17;193.22;192.11;193.11;177236
AAPL;60;230721;140000;193.125;193.18;192.4;192.59;179727
AAPL;60;230721;150000;192.58;192.69;191.33;191.95;705551
AAPL;60;230724;090000;193.4;194.91;193.19;193.51;356758
AAPL;60;230724;100000;193.48;193.82;192.96;193.38;255295
AAPL;60;230724;110000;193.38;193.74;192.84;193.12;134367
AAPL;60;230724;120000;193.12;193.415;192.89;193.065;106714
AAPL;60;230724;130000;193.05;193.1;192.765;192.97;149872
AAPL;60;230724;140000;193.02;193.45;192.595;192.77;135144
AAPL;60;230724;150000;192.78;192.88;192.29;192.76;325928
AAPL;60;230725;090000;193.33;194;192.93;193.95;234678
AAPL;60;230725;100000;193.97;194.18;193.23;193.27;212690
AAPL;60;230725;110000;193.25;194.12;193.25;193.8;132680
